"Date: 2026-01-03+0000"
"Version: 7.1"
"Status: 
0 Normal
"","Books","Chapter 5 – The Best Way to Start a New Habit","TEXT","","","N","2024-01-01T12:49:32+0000","2024-01-01T12:49:32+0000","","","0","2","2024-01-01T12:49:32+0000","2024-01-01T13:04:32+0000","32985348833280","America/New_York","","false","","","list","14","4"
"","Books","Chapter 6 – Motivation Is Overrated; Environment Often Matters More","TEXT","","","N","2024-01-02T10:00:30+0000","2024-01-02T10:00:30+0000","","","0","2","2024-01-02T10:00:30+0000","2024-01-02T10:15:30+0000","34084860461056","America/New_York","","false","","","list","15","4"
"","Books","Chapter 7 – The Secret to Self-Control","TEXT","","","N","2024-01-02T10:24:32+0000","2024-01-02T10:24:32+0000","","","0","2","2024-01-02T10:24:32+0000","2024-01-02T10:39:32+0000","35184372088832","America/New_York","","false","","","list","16","4"
"","Books","Chapter 8 – How to Make a Habit Irresistible","TEXT","","","N","2024-01-02T10:56:59+0000","2024-01-02T10:56:59+0000","","","0","2","2024-01-02T10:56:59+0000","2024-01-02T11:11:59+0000","36283883716608","America/New_York","","false","","","list","17","5"
"","Books","Chapter 9 – The Role of Family and Friends in Shaping Your Habits","TEXT","","","N","2024-01-02T11:27:34+0000","2024-01-02T11:27:34+0000","","","0","2","2024-01-02T11:27:34+0000","2024-01-02T11:42:34+0000","37383395344384","America/New_York","","false","","","list","18","5"
"","Books","Chapter 10 – How to Find and Fix the Causes of Your Bad Habits","TEXT","","","N","2024-01-02T11:58:42+0000","2024-01-02T11:58:42+0000","","","0","2","2024-01-02T11:58:42+0000","2024-01-02T12:13:42+0000","38482906972160","America/New_York","","false","","","list","19","5"
"","Books","Chapter 11 – Walk Slowly, but Never Backward","TEXT","","","N","2024-01-03T09:53:58+0000","2024-01-03T09:53:58+0000","","","0","2","2024-01-03T09:53:58+0000","2024-01-03T10:08:58+0000","39582418599936","America/New_York","","false","","","list","20","6"
"","Books","Chapter 12 – The Law of Least Effort","TEXT","","","N","2024-01-03T10:24:26+0000","2024-01-03T10:24:26+0000","","","0","2","2024-01-03T10:24:26+0000","2024-01-03T10:39:26+0000","40681930227712","America/New_York","","false","","","list","21","6"
"","Books","Chapter 13 – How to Stop Procrastinating by Using the Two-Minute Rule","TEXT","","","N","2024-01-03T10:51:34+0000","2024-01-03T10:51:34+0000","","","0","2","2024-01-03T10:51:34+0000","2024-01-03T11:06:34+0000","41781441855488","America/New_York","","false","","","list","22","6"
"","Books","Chapter 14 – How to Make Good Habits Inevitable and Bad Habits Impossible","TEXT","","","N","2024-01-03T11:20:04+0000","2024-01-03T11:20:04+0000","","","0","2","2024-01-03T11:20:04+0000","2024-01-03T11:35:04+0000","42880953483264","America/New_York","","false","","","list","23","6"
"","Books","Chapter 15 – The Cardinal Rule of Behavior Change","TEXT","","","N","2024-01-03T11:53:30+0000","2024-01-03T11:53:30+0000","","","0","2","2024-01-03T11:53:30+0000","2024-01-03T12:08:30+0000","43980465111040","America/New_York","","false","","","list","24","7"
"","Books","Chapter 16 – How to Stick with Good Habits Every Day","TEXT","","","N","2024-01-04T10:00:55+0000","2024-01-04T10:00:55+0000","","","0","2","2024-01-04T10:00:55+0000","2024-01-04T10:15:55+0000","45079976738816","America/New_York","","false","","","list","25","7"
"","Books","Chapter 17 – How an Accountability Partner Can Change Everything","TEXT","","","N","2024-01-04T10:27:39+0000","2024-01-04T10:27:39+0000","","","0","2","2024-01-04T10:27:39+0000","2024-01-04T10:42:39+0000","46179488366592","America/New_York","","false","","","list","26","7"
"","Books","Chapter 18 – The Truth About Talent (When Genes Matter and When They Don’t)","TEXT","","","N","2024-01-04T11:02:16+0000","2024-01-04T11:02:16+0000","","","0","2","2024-01-04T11:02:16+0000","2024-01-04T11:17:16+0000","47278999994368","America/New_York","","false","","","list","27","8"
"","Books","Chapter 19 – The Goldilocks Rule: How to Stay Motivated in Life and Work","TEXT","","","N","2024-01-04T11:29:21+0000","2024-01-04T11:29:21+0000","","","0","2","2024-01-04T11:29:21+0000","2024-01-04T11:44:21+0000","48378511622144","America/New_York","","false","","","list","28","8"
"","Books","Chapter 20 – The Downside of Creating Good Habits","TEXT","","","N","2024-01-04T12:01:25+0000","2024-01-04T12:01:25+0000","","","0","2","2024-01-04T12:01:25+0000","2024-01-04T12:16:25+0000","49478023249920","America/New_York","","false","","","list","29","8"
"","Books","Opening Credits","TEXT","","","N","2024-01-01T10:02:40+0000","2024-01-01T10:02:40+0000","","","0","2","2024-01-01T10:02:40+0000","2024-01-01T10:17:40+0000","50577534877696","America/New_York","","false","","","list","30","2"
"","Books","Introduction: My Story","TEXT","","","N","2024-01-01T10:02:40+0000","2024-01-01T10:02:40+0000","","","0","2","2024-01-01T10:02:40+0000","2024-01-01T10:17:40+0000","51677046505472","America/New_York","","false","","","list","31","2"
"","Books","Appendix","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","52776558133248","America/New_York","","false","","","list","32","9"
"","Books","What Should You Read Next?","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","53876069761024","America/New_York","","false","","","list","33","9"
"","Books","How to Apply These Ideas to Business","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","54975581388800","America/New_York","","false","","","list","34","9"
"","Books","How to Apply These Ideas to Parenting","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","56075093016576","America/New_York","","false","","","list","35","9"
"","Books","End Credits","TEXT","","","N","2024-01-04T12:23:09+0000","2024-01-04T12:23:09+0000","","","0","2","2024-01-04T12:23:09+0000","2024-01-04T12:38:09+0000","57174604644352","America/New_York","","false","","","list","36","9"
