"Date: 2026-01-03+0000"
"Version: 7.1"
"Status: 
0 Normal
"","Books","Chapter 12 – The Law of Least Effort","TEXT","","","N","","","","","0","0","2026-01-02T21:48:45+0000","","40681930227712","America/New_York",,"false",,,"list","21","6"
"","Books","Chapter 13 – How to Stop Procrastinating by Using the Two-Minute Rule","TEXT","","","N","","","","","0","0","2026-01-02T21:48:45+0000","","41781441855488","America/New_York",,"false",,,"list","22","6"
"","Books","Chapter 14 – How to Make Good Habits Inevitable and Bad Habits Impossible","TEXT","","","N","","","","","0","0","2026-01-02T21:48:45+0000","","42880953483264","America/New_York",,"false",,,"list","23","6"
"","Books","Chapter 15 – The Cardinal Rule of Behavior Change","TEXT","","","N","","","","","0","0","2026-01-02T21:48:56+0000","","43980465111040","America/New_York",,"false",,,"list","24","7"
"","Books","Chapter 16 – How to Stick with Good Habits Every Day","TEXT","","","N","","","","","0","0","2026-01-02T21:48:57+0000","","45079976738816","America/New_York",,"false",,,"list","25","7"
"","Books","Chapter 17 – How an Accountability Partner Can Change Everything","TEXT","","","N","","","","","0","0","2026-01-02T21:48:57+0000","","46179488366592","America/New_York",,"false",,,"list","26","7"
"","Books","Chapter 18 – The Truth About Talent (When Genes Matter and When They Don’t)","TEXT","","","N","","","","","0","0","2026-01-02T21:49:04+0000","","47278999994368","America/New_York",,"false",,,"list","27","8"
"","Books","Chapter 19 – The Goldilocks Rule: How to Stay Motivated in Life and Work","TEXT","","","N","","","","","0","0","2026-01-02T21:49:06+0000","","48378511622144","America/New_York",,"false",,,"list","28","8"
"","Books","Chapter 20 – The Downside of Creating Good Habits","TEXT","","","N","","","","","0","0","2026-01-02T21:49:06+0000","","49478023249920","America/New_York",,"false",,,"list","29","8"
"","Books","Opening Credits","TEXT","","","N","","","","","0","0","2026-01-03T14:19:13+0000","","50577534877696","America/New_York",,"false",,,"list","30","2"
"","Books","Introduction: My Story","TEXT","","","N","","","","","0","0","2026-01-03T14:19:18+0000","","51677046505472","America/New_York",,"false",,,"list","31","2"
"","Books","Appendix","TEXT","","","N","","","","","0","0","2026-01-03T14:19:26+0000","","52776558133248","America/New_York",,"false",,,"list","32","9"
"","Books","What Should You Read Next?","TEXT","","","N","","","","","0","0","2026-01-03T14:19:30+0000","","53876069761024","America/New_York",,"false",,,"list","33","9"
"","Books","How to Apply These Ideas to Business","TEXT","","","N","","","","","0","0","2026-01-03T14:19:33+0000","","54975581388800","America/New_York",,"false",,,"list","34","9"
"","Books","How to Apply These Ideas to Parenting","TEXT","","","N","","","","","0","0","2026-01-03T14:19:35+0000","","56075093016576","America/New_York",,"false",,,"list","35","9"
"","Books","End Credits","TEXT","","","N","","","","","0","0","2026-01-03T14:19:37+0000","","57174604644352","America/New_York",,"false",,,"list","36","9"
